,Name,%,Price,Rating,Release,Ends,Started
65,Risk of Rain (2013),-80%,"R$ 3,99",91.50%,Nov 2013,in 17 hours,6 days ago
66,Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,in 8 days,6 days ago
67,Project Wingman,-50%,"R$ 23,74",91.16%,Dec 2020,in 17 hours,6 days ago
68,Death's Door,-75%,"R$ 14,99",91.15%,Jul 2021,in 4 days,3 days ago
69,Thomas Was Alone,-80%,"R$ 3,39",91.00%,Nov 2012,in 17 hours,6 days ago
70,The Messenger,-80%,"R$ 11,99",90.98%,Aug 2018,in 4 days,3 days ago
71,Dead Estate,-50%,"R$ 8,99",90.97%,Oct 2021,in 17 hours,6 days ago
72,McPixel 3,-80%,"R$ 6,59",90.88%,Nov 2022,in 4 days,3 days ago
73,Spelunky 2,-50%,"R$ 18,99",90.82%,Sep 2020,in 17 hours,6 days ago
74,Death Road to Canada,-75%,"R$ 6,99",90.30%,Jul 2016,in 17 hours,6 days ago
75,Crusader Kings III,-60%,"R$ 71,99",90.21%,Sep 2020,in 4 days,10 days ago
76,Victoria II,-75%,"R$ 17,99",90.19%,Aug 2010,in 4 days,10 days ago
77,Hearts of Iron IV,-70%,"R$ 53,99",90.14%,Jun 2016,in 4 days,10 days ago
78,Evil Genius,-90%,"R$ 1,99",89.90%,Sep 2004,in 17 hours,12 days ago
79,ΔV: Rings of Saturn,-50%,"R$ 10,34",89.39%,Jul 2023,in 17 hours,6 days ago
80,Choice of Life: Middle Ages 2,-50%,"R$ 11,75",89.38%,Sep 2022,in 17 hours,13 days ago
81,Sid Meier's Civilization® IV,-85%,"R$ 4,49",89.14%,Oct 2005,in 8 days,6 days ago
82,"Invisible, Inc.",-75%,"R$ 9,24",88.55%,May 2015,in 17 hours,6 days ago
83,Slipways,-50%,"R$ 16,49",88.46%,Jun 2021,in 17 hours,6 days ago
84,Knights of Honor,-75%,"R$ 8,99",88.39%,May 2005,in 4 days,10 days ago
85,Torchlight,-80%,"R$ 4,99",88.27%,Oct 2009,in 8 days,6 days ago
86,Lacuna – A Sci-Fi Noir Adventure,-80%,"R$ 6,19",88.21%,May 2021,in 2 days,11 days ago
87,Prison Architect,-80%,"R$ 21,59",88.19%,Oct 2015,in 4 days,10 days ago
88,Monaco: What's Yours Is Mine,-75%,"R$ 6,99",87.95%,Apr 2013,in 17 hours,6 days ago
89,Curious Expedition,-80%,"R$ 5,59",87.78%,Sep 2016,in 17 hours,6 days ago
90,Jupiter Hell,-60%,"R$ 18,99",87.63%,Aug 2021,in 17 hours,6 days ago
91,The Witcher: Enhanced Edition Director's Cut,-85%,"R$ 2,54",87.52%,Sep 2008,in 7 days,3 days ago
92,Splasher,-77%,"R$ 8,27",87.52%,Feb 2017,in 8 days,6 days ago
93,Card Shark,-50%,"R$ 29,99",87.52%,Jun 2022,in 4 days,10 days ago
94,Rollerdrome,-67%,"R$ 52,76",87.40%,Aug 2022,in 17 hours,13 days ago
95,Marble It Up! Ultra,-60%,"R$ 35,59",87.38%,Nov 2018,in 12 days,2 days ago
96,Life is Strange: True Colors,-70%,"R$ 89,97",87.31%,Sep 2021,in 2 days,11 days ago
97,Blue Estate The Game,-65%,"R$ 9,09",87.27%,Apr 2015,in 8 days,6 days ago
98,Shadowrun: Dragonfall - Director's Cut,-75%,"R$ 13,49",86.84%,Sep 2014,in 4 days,10 days ago
99,DJMAX RESPECT V,-80%,"R$ 19,79",86.83%,Mar 2020,in 17 hours,6 days ago
100,Majesty Gold HD,-75%,"R$ 8,99",86.83%,Mar 2001,in 4 days,10 days ago
101,Thronebreaker: The Witcher Tales,-75%,"R$ 13,99",86.65%,Nov 2018,in 7 days,3 days ago
102,Battlezone 98 Redux,-85%,"R$ 6,89",86.38%,Apr 2016,in 17 hours,12 days ago
103,Shadowrun Returns,-75%,"R$ 13,49",86.28%,Jul 2013,in 4 days,10 days ago
104,Duskers,-50%,"R$ 18,49",86.27%,May 2016,in 17 hours,6 days ago
105,Europa Universalis IV,-70%,"R$ 43,19",86.05%,Aug 2013,in 4 days,10 days ago
106,House of the Dying Sun,-70%,"R$ 11,09",85.88%,Nov 2016,in 17 hours,6 days ago
107,TrymenT ―献给渴望改变的你― AlphA篇,-67%,"R$ 29,03",85.87%,Feb 2020,in 7 days,yesterday
108,Curious Expedition 2,-65%,"R$ 13,29",85.85%,Jan 2021,in 17 hours,6 days ago
109,Darkest Hour: A Hearts of Iron Game,-80%,"R$ 7,19",85.68%,Apr 2011,in 4 days,10 days ago
110,Hob,-80%,"R$ 7,39",85.66%,Sep 2017,in 8 days,6 days ago
111,Astronarch,-70%,"R$ 8,69",85.59%,Jan 2021,in 17 hours,6 days ago
112,Expeditions: Rome,-60%,"R$ 33,99",85.56%,Jan 2022,in 17 hours,6 days ago
113,Magicka,-75%,"R$ 8,99",85.51%,Jan 2011,in 4 days,10 days ago
114,Lost Castle / 失落城堡,-60%,"R$ 7,99",85.44%,Sep 2016,in 17 hours,6 days ago
115,Assassin's Creed® Origins,-85%,"R$ 26,99",85.30%,Oct 2017,in 7 days,4 days ago
116,Fury Unleashed,-85%,"R$ 8,99",85.14%,May 2020,in 17 hours,6 days ago
117,JoJo's Bizarre Adventure: All-Star Battle R,-70%,"R$ 60,75",85.06%,Sep 2022,in 17 hours,6 days ago
118,Tyranny,-75%,"R$ 26,99",84.72%,Nov 2016,in 4 days,10 days ago
119,Tick Tock: A Tale for Two,-60%,"R$ 7,60",84.27%,Mar 2019,in 5 days,2 days ago
120,ScourgeBringer,-75%,"R$ 9,99",84.22%,Oct 2020,in 8 days,6 days ago
121,SpellForce - Platinum Edition,-80%,"R$ 3,39",83.86%,Nov 2009,in 13 days,yesterday
122,Knights of Pen and Paper 2,-75%,"R$ 7,24",83.80%,Oct 2015,in 4 days,10 days ago
123,Shadowrun: Hong Kong - Extended Edition,-75%,"R$ 17,99",83.76%,Aug 2015,in 4 days,10 days ago
124,SpellForce 3 Fallen God,-80%,"R$ 7,59",83.62%,Nov 2020,in 13 days,yesterday
125,Age of Wonders Shadow Magic,-75%,"R$ 8,99",83.21%,—,in 4 days,10 days ago
126,Void Bastards,-70%,"R$ 17,39",83.21%,May 2019,in 17 hours,6 days ago
127,Surviving Mars,-75%,"R$ 26,99",83.15%,Mar 2018,in 4 days,10 days ago
128,Crying Suns,-70%,"R$ 14,24",83.14%,Sep 2019,in 17 hours,6 days ago
129,Sword of the Stars: Complete Collection,-75%,"R$ 8,99",82.85%,Oct 2008,in 4 days,10 days ago
130,Warlock - Master of the Arcane,-75%,"R$ 22,49",82.81%,May 2012,in 4 days,10 days ago
131,Academia : School Simulator,-50%,"R$ 35,99",82.23%,Sep 2017,in 4 days,10 days ago
132,Project Highrise,-84%,"R$ 9,59",82.01%,Sep 2016,in 7 days,7 hours ago
133,BATTLETECH,-75%,"R$ 35,99",81.95%,Apr 2018,in 4 days,10 days ago
134,Ice Lakes,-75%,"R$ 13,49",81.80%,Apr 2016,in 4 days,10 days ago
135,Teleglitch: Die More Edition,-75%,"R$ 11,74",81.79%,Jul 2013,in 4 days,10 days ago
136,Watch_Dogs® 2,-85%,"R$ 22,49",81.65%,Nov 2016,in 17 hours,6 days ago
